DateKey	Year	MonthNum	MonthFull	MonthAbbr	QuarterNum	QuarterFull	QuarterNameAbbr	YearAndQuarterNum	YearAndMonthNum	QuarterAndYearAbbr	MonthAndYearAbbr	MonthAndYear	QuarterAndYear
03/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
04/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
05/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
06/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
07/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
08/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
09/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
10/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
11/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
12/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
13/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
14/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
15/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
16/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
17/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
18/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
19/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
20/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
21/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
22/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
23/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
24/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
25/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
26/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
27/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
28/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
29/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
30/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
01/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
02/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
03/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
04/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
05/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
06/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
07/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
08/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
09/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
10/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
11/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
12/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
13/07/2012	2012	7	July	Jul	3	Quarter 3	Q3	20123	201207	Q3 2012	Jul 2012	Jul-12	Quarter 3 2012
